[(1, 1000000000, 89.070850),
(1, 1000000000, 87.437283),
(1, 1000000000, 87.842044),
(2, 1000000000, 44.959300),
(2, 1000000000, 43.767274),
(2, 1000000000, 43.732623),
(3, 1000000000, 30.453577),
(3, 1000000000, 29.501678),
(3, 1000000000, 29.987269),
(4, 1000000000, 22.461002),
(4, 1000000000, 22.323854),
(4, 1000000000, 23.193276),
(5, 1000000000, 22.333122),
(5, 1000000000, 22.892164),
(5, 1000000000, 22.668233),
(6, 1000000000, 22.107283),
(6, 1000000000, 22.860748),
(6, 1000000000, 22.295917),
(7, 1000000000, 22.825117),
(7, 1000000000, 22.278421),
(7, 1000000000, 22.468357),
(8, 1000000000, 22.939293),
(8, 1000000000, 21.950936),
(8, 1000000000, 22.355057),
(9, 1000000000, 22.341175),
(9, 1000000000, 22.585769),
(9, 1000000000, 22.472650),
(10, 1000000000, 22.940935),
(10, 1000000000, 21.929692),
(10, 1000000000, 22.543956),
(11, 1000000000, 22.165134),
(11, 1000000000, 22.670702),
(11, 1000000000, 22.756729),
(12, 1000000000, 22.076278),
(12, 1000000000, 22.126841),
(12, 1000000000, 22.417541),
]
