[(1, 1000000000, 101.794938, 1.233782)
(1, 1000000000, 101.337290, 1.233782)
(1, 1000000000, 101.318703, 1.233782)
(2, 1000000000, 54.583837, 1.233662)
(2, 1000000000, 56.295422, 1.233662)
(2, 1000000000, 54.461723, 1.233662)
(3, 1000000000, 46.391302, 1.233688)
(3, 1000000000, 46.720134, 1.233688)
(3, 1000000000, 47.045751, 1.233688)
(4, 1000000000, 46.003796, 1.233609)
(4, 1000000000, 47.888995, 1.233609)
(4, 1000000000, 43.382449, 1.233609)
(5, 1000000000, 43.896361, 1.233585)
(5, 1000000000, 42.892048, 1.233585)
(5, 1000000000, 42.508645, 1.233585)
(6, 1000000000, 40.480990, 1.233648)
(6, 1000000000, 42.773920, 1.233648)
(6, 1000000000, 40.540297, 1.233648)
(7, 1000000000, 42.921917, 1.233695)
(7, 1000000000, 41.734809, 1.233695)
(7, 1000000000, 41.345539, 1.233695)
(8, 1000000000, 40.025104, 1.233731)
(8, 1000000000, 41.999008, 1.233731)
(8, 1000000000, 42.135220, 1.233731)
(9, 1000000000, 41.931083, 1.233739)
(9, 1000000000, 42.158277, 1.233739)
(9, 1000000000, 42.626148, 1.233739)
(10, 1000000000, 40.073964, 1.233736)
(10, 1000000000, 41.065337, 1.233736)
(10, 1000000000, 40.920674, 1.233736)
(11, 1000000000, 41.326742, 1.233751)
(11, 1000000000, 48.450548, 1.233751)
(11, 1000000000, 41.574286, 1.233751)
(12, 1000000000, 40.679986, 1.233792)
(12, 1000000000, 41.339192, 1.233792)
(12, 1000000000, 41.269929, 1.233792)
]
