[(1, 1000000000, 91.366968, 1.233652)
(1, 1000000000, 87.610123, 1.233652)
(1, 1000000000, 88.554529, 1.233652)
(2, 1000000000, 44.279643, 1.233704)
(2, 1000000000, 43.829211, 1.233704)
(2, 1000000000, 44.282562, 1.233704)
(3, 1000000000, 29.705622, 1.233701)
(3, 1000000000, 29.314450, 1.233701)
(3, 1000000000, 29.502586, 1.233701)
(4, 1000000000, 22.325890, 1.233717)
(4, 1000000000, 22.258681, 1.233717)
(4, 1000000000, 22.395104, 1.233717)
(5, 1000000000, 22.741481, 1.233701)
(5, 1000000000, 22.955821, 1.233701)
(5, 1000000000, 22.849861, 1.233701)
(6, 1000000000, 22.645747, 1.233578)
(6, 1000000000, 23.169740, 1.233578)
(6, 1000000000, 22.189110, 1.233578)
(7, 1000000000, 22.260679, 1.233544)
(7, 1000000000, 22.305571, 1.233544)
(7, 1000000000, 22.427058, 1.233544)
(8, 1000000000, 21.998780, 1.233576)
(8, 1000000000, 22.055722, 1.233576)
(8, 1000000000, 22.305488, 1.233576)
(9, 1000000000, 22.414816, 1.233645)
(9, 1000000000, 22.545722, 1.233645)
(9, 1000000000, 22.376602, 1.233645)
(10, 1000000000, 21.987120, 1.233590)
(10, 1000000000, 22.462839, 1.233590)
(10, 1000000000, 22.430101, 1.233590)
(11, 1000000000, 22.562825, 1.233629)
(11, 1000000000, 22.678823, 1.233629)
(11, 1000000000, 22.728794, 1.233629)
(12, 1000000000, 22.563905, 1.233655)
(12, 1000000000, 22.907919, 1.233655)
(12, 1000000000, 21.993446, 1.233655)
]
