[1, 3.141592654, 16.643783652, 3.141592654, 16.452311900],
[2, 3.709180872, 8.551955431, 3.709180872, 8.375717073],
[3, 3.861006650, 6.078204941, 3.861006650, 5.944901917],
[4, 3.919658610, 4.783199548, 3.919658610, 4.696462572],
[5, 3.947911197, 3.933931432, 3.947911197, 3.873447024],
[6, 3.963568256, 3.375311721, 3.963568256, 3.251776601],
[7, 3.973117526, 3.040578997, 3.973117526, 3.015142375],
[8, 3.979359825, 2.730029952, 3.979359825, 2.662064324],
[9, 3.983659958, 2.386384977, 3.983659958, 2.374112001],
[10, 3.986746100, 2.163941121, 3.986746100, 2.162824949],
[11, 3.989035034, 1.974863599, 3.989035034, 1.974241232],
[12, 3.990779126, 1.793370090, 3.990779126, 1.779476987],
